id,type,cell,safe,youngest,county,regvoter,gender,rwdirusa,rwdiril,redirlocal,qlife,prim14_party,prim14_rep_gov,prim14_rep_gov_other,fix_deficit_il13,school_consol,school_consol_local,school_pen_local,pen_inccontrib,pen_hccontrib,term_lim,term_leader,cf_lim_leader,prim_nodeclr,redist_hat,redist_neutral,redist_commis,term_resp,term_expert,term_fresh,term_lobby,view_coalind,view_coalmnr,view_siu,view_colstud,view_farmers,view_docs,qual_he,qual_K12,fund_he,fund_hefrom,qual_heimport,qual_heattract,col_orjob,col_qualgo,col_lowincgo,col_moreimp,col_opp,col_kidsopp,col_price4yr,col_pricecc,cclearn,fracking,frack_safe,frack_econ,imp_fed,imp_fedfeel,imp_il,imp_ilfeel,imp_local,imp_localfeel,betteroff_now,betteroff_1yr,betteroff_worsoff,abort_leg,lg_coup_rts,education,ideology,party_aff,whereborn,net_type,net_bbavail,employ_time,employ_type,retired_type,relig_often,relig_type,religion,relig_denom,relig_denom_other,born_again,zip,birth_yr,rac_eth,rac_eth_other,hh_inc
16883,2, , ,1,6,1,2,2,2,1,3,2, , , , , ,3,1,3,5,2,5,4,3,5,5,2,2,2,2,2,2,2,2,1,2,4,4,2,3,1,1,3,2,1,1,2,2,2,1,2,4,5,3, , , , , , ,2,2, ,2,3,3,3,9,1,5,3,3, , ,1,1, , , ,2,62966,1936,1, ,9
17041,2, , ,1,8,1,1,2,2,2,3,4, , , , , ,1,1,1,1,1,1,1,4,1,4,1,4,1,4,2,2,3,2,2,3,3,3,1,4,2,1,1,2,2,1,1,1,2,1,1,1,2,1, , , , , , ,2,2, ,3,3,3,5,5,2,2,2,5, , ,3,1, , , ,2,62939,1961,1, ,3
17419,2, , ,1,6,1,1,2,2,1,2,1,6, , , , ,2,2,1,2,2,3,4,4,3,2,3,2,2,2,1,1,1,2,2,2,3,2,2,3,2,1,3,1,3,1,1,1,1,1,1,2,1,1, , , , , , ,1,3, ,3,2,3,4,6,1,2,3,1,3, ,1,1, , , ,3,62907,1955,1, ,4
17783,2, , ,1,13,1,2,2,3,1,2,4, , , , , ,3,2,2,5,5,5,2,5,5,5,3,5,2,3,5,5,5,5,6,2,2,2,3,4,3,3,1,2,3,1,3,3,2,2,2,4,5,3, , , , , , ,2,1, ,1,3,1,3,3,3,6,1,3, , ,2,3, , , , ,99999,9999,1, ,9
18322,2, , ,1,17,1,2,1,2,1,2,2, , , , , ,2,2,1,1,1,1,1,4,2,2,1,4,2,1,2,1,5,2,1,2,3,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2, , , , , , ,1,3, ,1,2,3,2,1,2,6,1,2,1, ,1,1, , , ,2,62869,1931,1, ,4
18922,1,1,1, ,2,1,2,2,2,2,5,1,6, , , , ,3,2,1,1,1,1,2,3,2,2,1,3,2,5,1,1,2,5,2,5,3,3,3,5,2,3,1,1,3,1,1,1,2,3,2,2,2,1, , , , , , ,2,3, ,3,3,2,5,5,1,3,3,4, , ,1,1, , , ,4,62896,1956,1, ,4
19132,1,1,1, ,18,1,2,1,2,1,3,2, , , , , ,2,1,2,2,2,2,2,2,2,3,2,3,2,3,5,5,5,5,5,5,3,3,2,2,2,1,1,2,1,1,1,1,2,1,1,2,4,2, , , , , , ,3,3, ,2,1,3,2,1,2,4,1,1,4, ,4, ,2, , , ,62951,1977,1, ,2
19243,2, , ,1,13,1,2,2,2,1,5,1,6, , , , ,3,3,1,2,2,2,2,3,5,5,2,5,2,5,2,2,2,2,2,2,3,3,3,1,2,1,3,2,2,1,1,1,3,1,3,4,5,1, , , , , , ,2,2, ,3,3,2,5,6,1,3,3,3, , ,1,1, , , ,3,62233,1941,1, ,2
16444,2, , ,1,18,1,2,2,2,2,3,1,6, , , , ,1,1,2,1,1,1,1,4,1,1,1,4,1,4,2,1,3,5,2,5,3,4,1,2,3,3,3,1,2,3,2,2,3,1,5,1,3,3, , , , , , ,2,3, ,3,3,5,5,4,3,2,2,2,1, ,2,1, , , ,4,62948,1964,1, ,9
16759,2, , ,1,7,1,1,2,2,2,2,1,6, , , , ,1,1,1,2,1,1,1,4,5,2,4,4,2,4,1,2,2,2,1,2,3,3,2,3,1,1,2,1,2,1,1,2,1,1,1,2,1,1, , , , , , ,3,2, ,3,3,1,4,7,1,5,1,3, , ,4, ,3, , , ,62864,1929,1, ,2
