Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2017,"32,237","31,008","1,229",3.8,,,,,,,,,,,,,,       
ALEXANDER COUNTY,3,2017,"2,161","1,989",172,8.0,,,,,,,,,,,,,,       
BOND COUNTY,5,2017,"7,817","7,478",339,4.3,,,,,,,,,,,,,,       
BOONE COUNTY,7,2017,"25,978","24,269","1,709",6.6,,,,,,,,,,,,,,       
BROWN COUNTY,9,2017,"2,842","2,761",81,2.9,,,,,,,,,,,,,,       
BUREAU COUNTY,11,2017,"17,319","16,490",829,4.8,,,,,,,,,,,,,,       
CALHOUN COUNTY,13,2017,"2,352","2,227",125,5.3,,,,,,,,,,,,,,       
CARROLL COUNTY,15,2017,"7,607","7,263",344,4.5,,,,,,,,,,,,,,       
CASS COUNTY,17,2017,"6,157","5,882",275,4.5,,,,,,,,,,,,,,       
CHAMPAIGN COUNTY,19,2017,"104,527","100,100","4,427",4.2,,,,,,,,,,,,,,       
CHRISTIAN COUNTY,21,2017,"14,687","13,919",768,5.2,,,,,,,,,,,,,,       
CLARK COUNTY,23,2017,"7,845","7,470",375,4.8,,,,,,,,,,,,,,       
CLAY COUNTY,25,2017,"6,623","6,277",346,5.2,,,,,,,,,,,,,,       
CLINTON COUNTY,27,2017,"20,251","19,547",704,3.5,,,,,,,,,,,,,,       
COLES COUNTY,29,2017,"24,429","23,308","1,121",4.6,,,,,,,,,,,,,,       
COOK COUNTY,31,2017,"2,653,153","2,514,113","139,040",5.2,,,,,,,,,,,,,,       
CRAWFORD COUNTY,33,2017,"8,778","8,323",455,5.2,,,,,,,,,,,,,,       
CUMBERLAND COUNTY,35,2017,"6,096","5,858",238,3.9,,,,,,,,,,,,,,       
DEKALB COUNTY,37,2017,"54,651","52,180","2,471",4.5,,,,,,,,,,,,,,       
DE WITT COUNTY,39,2017,"7,740","7,386",354,4.6,,,,,,,,,,,,,,       
DOUGLAS COUNTY,41,2017,"10,120","9,714",406,4.0,,,,,,,,,,,,,,       
DUPAGE COUNTY,43,2017,"515,683","494,644","21,039",4.1,,,,,,,,,,,,,,       
EDGAR COUNTY,45,2017,"9,426","8,974",452,4.8,,,,,,,,,,,,,,       
EDWARDS COUNTY,47,2017,"2,838","2,710",128,4.5,,,,,,,,,,,,,,       
EFFINGHAM COUNTY,49,2017,"18,787","18,083",704,3.7,,,,,,,,,,,,,,       
FAYETTE COUNTY,51,2017,"9,585","9,065",520,5.4,,,,,,,,,,,,,,       
FORD COUNTY,53,2017,"6,483","6,178",305,4.7,,,,,,,,,,,,,,       
FRANKLIN COUNTY,55,2017,"16,425","15,380","1,045",6.4,,,,,,,,,,,,,,       
FULTON COUNTY,57,2017,"15,430","14,464",966,6.3,,,,,,,,,,,,,,       
GALLATIN COUNTY,59,2017,"2,455","2,316",139,5.7,,,,,,,,,,,,,,       
GREENE COUNTY,61,2017,"5,965","5,666",299,5.0,,,,,,,,,,,,,,       
GRUNDY COUNTY,63,2017,"25,658","24,136","1,522",5.9,,,,,,,,,,,,,,       
HAMILTON COUNTY,65,2017,"4,416","4,221",195,4.4,,,,,,,,,,,,,,       
HANCOCK COUNTY,67,2017,"8,483","8,051",432,5.1,,,,,,,,,,,,,,       
HARDIN COUNTY,69,2017,"1,336","1,234",102,7.6,,,,,,,,,,,,,,       
HENDERSON COUNTY,71,2017,"3,643","3,461",182,5.0,,,,,,,,,,,,,,       
HENRY COUNTY,73,2017,"24,790","23,545","1,245",5.0,,,,,,,,,,,,,,       
IROQUOIS COUNTY,75,2017,"14,668","14,014",654,4.5,,,,,,,,,,,,,,       
JACKSON COUNTY,77,2017,"27,990","26,759","1,231",4.4,,,,,,,,,,,,,,       
JASPER COUNTY,79,2017,"4,520","4,302",218,4.8,,,,,,,,,,,,,,       
JEFFERSON COUNTY,81,2017,"17,341","16,406",935,5.4,,,,,,,,,,,,,,       
JERSEY COUNTY,83,2017,"10,931","10,413",518,4.7,,,,,,,,,,,,,,       
JO DAVIESS COUNTY,85,2017,"11,002","10,518",484,4.4,,,,,,,,,,,,,,       
JOHNSON COUNTY,87,2017,"4,084","3,785",299,7.3,,,,,,,,,,,,,,       
KANE COUNTY,89,2017,"267,675","255,037","12,638",4.7,,,,,,,,,,,,,,       
KANKAKEE COUNTY,91,2017,"55,854","52,935","2,919",5.2,,,,,,,,,,,,,,       
KENDALL COUNTY,93,2017,"67,862","64,820","3,042",4.5,,,,,,,,,,,,,,       
KNOX COUNTY,95,2017,"22,472","21,328","1,144",5.1,,,,,,,,,,,,,,       
LAKE COUNTY,97,2017,"370,972","354,622","16,350",4.4,,,,,,,,,,,,,,       
LASALLE COUNTY,99,2017,"55,642","52,569","3,073",5.5,,,,,,,,,,,,,,       
LAWRENCE COUNTY,101,2017,"6,042","5,681",361,6.0,,,,,,,,,,,,,,       
LEE COUNTY,103,2017,"17,784","17,028",756,4.3,,,,,,,,,,,,,,       
LIVINGSTON COUNTY,105,2017,"16,611","15,882",729,4.4,,,,,,,,,,,,,,       
LOGAN COUNTY,107,2017,"12,827","12,246",581,4.5,,,,,,,,,,,,,,       
MCDONOUGH COUNTY,109,2017,"13,485","12,827",658,4.9,,,,,,,,,,,,,,       
MCHENRY COUNTY,111,2017,"167,389","159,780","7,609",4.5,,,,,,,,,,,,,,       
MCLEAN COUNTY,113,2017,"88,354","84,768","3,586",4.1,,,,,,,,,,,,,,       
MACON COUNTY,115,2017,"49,202","46,514","2,688",5.5,,,,,,,,,,,,,,       
MACOUPIN COUNTY,117,2017,"23,071","21,971","1,100",4.8,,,,,,,,,,,,,,       
MADISON COUNTY,119,2017,"133,452","127,266","6,186",4.6,,,,,,,,,,,,,,       
MARION COUNTY,121,2017,"17,637","16,730",907,5.1,,,,,,,,,,,,,,       
MARSHALL COUNTY,123,2017,"5,470","5,180",290,5.3,,,,,,,,,,,,,,       
MASON COUNTY,125,2017,"6,375","5,995",380,6.0,,,,,,,,,,,,,,       
MASSAC COUNTY,127,2017,"5,875","5,503",372,6.3,,,,,,,,,,,,,,       
MENARD COUNTY,129,2017,"6,723","6,453",270,4.0,,,,,,,,,,,,,,       
MERCER COUNTY,131,2017,"8,067","7,662",405,5.0,,,,,,,,,,,,,,       
MONROE COUNTY,133,2017,"18,356","17,752",604,3.3,,,,,,,,,,,,,,       
MONTGOMERY COUNTY,135,2017,"11,886","11,218",668,5.6,,,,,,,,,,,,,,       
MORGAN COUNTY,137,2017,"16,437","15,732",705,4.3,,,,,,,,,,,,,,       
MOULTRIE COUNTY,139,2017,"7,269","6,990",279,3.8,,,,,,,,,,,,,,       
OGLE COUNTY,141,2017,"25,178","23,911","1,267",5.0,,,,,,,,,,,,,,       
PEORIA COUNTY,143,2017,"85,721","80,773","4,948",5.8,,,,,,,,,,,,,,       
PERRY COUNTY,145,2017,"8,319","7,828",491,5.9,,,,,,,,,,,,,,       
PIATT COUNTY,147,2017,"8,453","8,116",337,4.0,,,,,,,,,,,,,,       
PIKE COUNTY,149,2017,"7,192","6,872",320,4.4,,,,,,,,,,,,,,       
POPE COUNTY,151,2017,"1,754","1,646",108,6.2,,,,,,,,,,,,,,       
PULASKI COUNTY,153,2017,"2,098","1,934",164,7.8,,,,,,,,,,,,,,       
PUTNAM COUNTY,155,2017,"2,985","2,842",143,4.8,,,,,,,,,,,,,,       
RANDOLPH COUNTY,157,2017,"14,114","13,501",613,4.3,,,,,,,,,,,,,,       
RICHLAND COUNTY,159,2017,"7,535","7,182",353,4.7,,,,,,,,,,,,,,       
ROCK ISLAND COUNTY,161,2017,"70,698","67,147","3,551",5.0,,,,,,,,,,,,,,       
ST. CLAIR COUNTY,163,2017,"125,758","119,566","6,192",4.9,,,,,,,,,,,,,,       
SALINE COUNTY,165,2017,"9,694","9,077",617,6.4,,,,,,,,,,,,,,       
SANGAMON COUNTY,167,2017,"103,457","99,077","4,380",4.2,,,,,,,,,,,,,,       
SCHUYLER COUNTY,169,2017,"3,286","3,141",145,4.4,,,,,,,,,,,,,,       
SCOTT COUNTY,171,2017,"2,457","2,331",126,5.1,,,,,,,,,,,,,,       
SHELBY COUNTY,173,2017,"10,235","9,784",451,4.4,,,,,,,,,,,,,,       
STARK COUNTY,175,2017,"2,682","2,520",162,6.0,,,,,,,,,,,,,,       
STEPHENSON COUNTY,177,2017,"21,537","20,544",993,4.6,,,,,,,,,,,,,,       
TAZEWELL COUNTY,179,2017,"64,033","60,655","3,378",5.3,,,,,,,,,,,,,,       
UNION COUNTY,181,2017,"7,354","6,891",463,6.3,,,,,,,,,,,,,,       
VERMILION COUNTY,183,2017,"34,070","31,928","2,142",6.3,,,,,,,,,,,,,,       
WABASH COUNTY,185,2017,"5,596","5,322",274,4.9,,,,,,,,,,,,,,       
WARREN COUNTY,187,2017,"8,643","8,286",357,4.1,,,,,,,,,,,,,,       
WASHINGTON COUNTY,189,2017,"9,542","9,262",280,2.9,,,,,,,,,,,,,,       
WAYNE COUNTY,191,2017,"6,868","6,451",417,6.1,,,,,,,,,,,,,,       
WHITE COUNTY,193,2017,"6,645","6,327",318,4.8,,,,,,,,,,,,,,       
WHITESIDE COUNTY,195,2017,"28,039","26,712","1,327",4.7,,,,,,,,,,,,,,       
WILL COUNTY,197,2017,"361,592","342,895","18,697",5.2,,,,,,,,,,,,,,       
WILLIAMSON COUNTY,199,2017,"31,519","29,918","1,601",5.1,,,,,,,,,,,,,,       
WINNEBAGO COUNTY,201,2017,"138,602","129,843","8,759",6.3,,,,,,,,,,,,,,       
WOODFORD COUNTY,203,2017,"18,837","18,025",812,4.3,,,,,,,,,,,,,,       
,,,,,,,,,,,,,,,,,,,,       
ADAMS COUNTY,1,2016,"32,425","30,897","1,528",4.7,,,,,,,,,,,,,,       
ALEXANDER COUNTY,3,2016,"2,200","1,997",203,9.2,,,,,,,,,,,,,,
BOND COUNTY,5,2016,"7,864","7,465",399,5.1,,,,,,,,,,,,,,
BOONE COUNTY,7,2016,"26,320","24,665","1,655",6.3,,,,,,,,,,,,,,
BROWN COUNTY,9,2016,"2,851","2,756",95,3.3,,,,,,,,,,,,,,
BUREAU COUNTY,11,2016,"17,340","16,303","1,037",6.0,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2016,"2,369","2,224",145,6.1,,,,,,,,,,,,,,
CARROLL COUNTY,15,2016,"7,850","7,411",439,5.6,,,,,,,,,,,,,,
CASS COUNTY,17,2016,"6,226","5,884",342,5.5,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2016,"105,228","99,913","5,315",5.1,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2016,"15,337","14,373",964,6.3,,,,,,,,,,,,,,
CLARK COUNTY,23,2016,"8,146","7,677",469,5.8,,,,,,,,,,,,,,
CLAY COUNTY,25,2016,"6,691","6,239",452,6.8,,,,,,,,,,,,,,
CLINTON COUNTY,27,2016,"20,415","19,513",902,4.4,,,,,,,,,,,,,,
COLES COUNTY,29,2016,"24,474","23,046","1,428",5.8,,,,,,,,,,,,,,
COOK COUNTY,31,2016,"2,669,585","2,507,250","162,335",6.1,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2016,"9,008","8,452",556,6.2,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2016,"5,970","5,663",307,5.1,,,,,,,,,,,,,,
DEKALB COUNTY,37,2016,"54,979","52,066","2,913",5.3,,,,,,,,,,,,,,
DE WITT COUNTY,39,2016,"7,895","7,448",447,5.7,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2016,"10,212","9,733",479,4.7,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2016,"517,781","493,261","24,520",4.7,,,,,,,,,,,,,,
EDGAR COUNTY,45,2016,"9,686","9,112",574,5.9,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2016,"2,966","2,795",171,5.8,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2016,"18,654","17,781",873,4.7,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2016,"9,734","9,098",636,6.5,,,,,,,,,,,,,,
FORD COUNTY,53,2016,"6,533","6,176",357,5.5,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2016,"16,656","15,321","1,335",8.0,,,,,,,,,,,,,,
FULTON COUNTY,57,2016,"15,770","14,616","1,154",7.3,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2016,"2,528","2,339",189,7.5,,,,,,,,,,,,,,
GREENE COUNTY,61,2016,"6,056","5,708",348,5.7,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2016,"25,810","24,068","1,742",6.7,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2016,"4,249","3,985",264,6.2,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2016,"8,812","8,243",569,6.5,,,,,,,,,,,,,,
HARDIN COUNTY,69,2016,"1,396","1,262",134,9.6,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2016,"3,710","3,486",224,6.0,,,,,,,,,,,,,,
HENRY COUNTY,73,2016,"25,056","23,553","1,503",6.0,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2016,"14,845","14,040",805,5.4,,,,,,,,,,,,,,
JACKSON COUNTY,77,2016,"28,626","27,099","1,527",5.3,,,,,,,,,,,,,,
JASPER COUNTY,79,2016,"4,637","4,349",288,6.2,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2016,"17,533","16,421","1,112",6.3,,,,,,,,,,,,,,
JERSEY COUNTY,83,2016,"11,035","10,397",638,5.8,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2016,"11,355","10,750",605,5.3,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2016,"4,200","3,837",363,8.6,,,,,,,,,,,,,,
KANE COUNTY,89,2016,"269,190","254,401","14,789",5.5,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2016,"55,571","52,075","3,496",6.3,,,,,,,,,,,,,,
KENDALL COUNTY,93,2016,"68,095","64,598","3,497",5.1,,,,,,,,,,,,,,
KNOX COUNTY,95,2016,"22,895","21,500","1,395",6.1,,,,,,,,,,,,,,
LAKE COUNTY,97,2016,"371,647","352,394","19,253",5.2,,,,,,,,,,,,,,
LASALLE COUNTY,99,2016,"56,996","53,179","3,817",6.7,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2016,"6,163","5,710",453,7.4,,,,,,,,,,,,,,
LEE COUNTY,103,2016,"17,987","17,074",913,5.1,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2016,"16,986","16,076",910,5.4,,,,,,,,,,,,,,
LOGAN COUNTY,107,2016,"13,051","12,364",687,5.3,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2016,"14,001","13,131",870,6.2,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2016,"168,203","159,347","8,856",5.3,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2016,"89,977","85,453","4,524",5.0,,,,,,,,,,,,,,
MACON COUNTY,115,2016,"50,182","46,888","3,294",6.6,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2016,"23,313","21,938","1,375",5.9,,,,,,,,,,,,,,
MADISON COUNTY,119,2016,"134,851","126,988","7,863",5.8,,,,,,,,,,,,,,
MARION COUNTY,121,2016,"17,990","16,853","1,137",6.3,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2016,"5,619","5,250",369,6.6,,,,,,,,,,,,,,
MASON COUNTY,125,2016,"6,426","5,972",454,7.1,,,,,,,,,,,,,,
MASSAC COUNTY,127,2016,"6,022","5,600",422,7.0,,,,,,,,,,,,,,
MENARD COUNTY,129,2016,"6,883","6,571",312,4.5,,,,,,,,,,,,,,
MERCER COUNTY,131,2016,"8,172","7,667",505,6.2,,,,,,,,,,,,,,
MONROE COUNTY,133,2016,"18,454","17,712",742,4.0,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2016,"12,115","11,265",850,7.0,,,,,,,,,,,,,,
MORGAN COUNTY,137,2016,"16,968","16,141",827,4.9,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2016,"7,422","7,086",336,4.5,,,,,,,,,,,,,,
OGLE COUNTY,141,2016,"25,755","24,249","1,506",5.8,,,,,,,,,,,,,,
PEORIA COUNTY,143,2016,"87,850","81,852","5,998",6.8,,,,,,,,,,,,,,
PERRY COUNTY,145,2016,"8,687","8,076",611,7.0,,,,,,,,,,,,,,
PIATT COUNTY,147,2016,"8,525","8,107",418,4.9,,,,,,,,,,,,,,
PIKE COUNTY,149,2016,"7,495","7,116",379,5.1,,,,,,,,,,,,,,
POPE COUNTY,151,2016,"1,761","1,641",120,6.8,,,,,,,,,,,,,,
PULASKI COUNTY,153,2016,"2,190","2,006",184,8.4,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2016,"3,101","2,929",172,5.5,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2016,"14,521","13,801",720,5.0,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2016,"7,525","7,084",441,5.9,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2016,"71,616","67,150","4,466",6.2,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2016,"126,941","119,311","7,630",6.0,,,,,,,,,,,,,,
SALINE COUNTY,165,2016,"10,025","9,177",848,8.5,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2016,"106,024","100,912","5,112",4.8,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2016,"3,353","3,166",187,5.6,,,,,,,,,,,,,,
SCOTT COUNTY,171,2016,"2,529","2,388",141,5.6,,,,,,,,,,,,,,
SHELBY COUNTY,173,2016,"10,364","9,776",588,5.7,,,,,,,,,,,,,,
STARK COUNTY,175,2016,"2,752","2,553",199,7.2,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2016,"21,371","20,132","1,239",5.8,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2016,"65,635","61,460","4,175",6.4,,,,,,,,,,,,,,
UNION COUNTY,181,2016,"7,508","6,957",551,7.3,,,,,,,,,,,,,,
VERMILION COUNTY,183,2016,"35,005","32,506","2,499",7.1,,,,,,,,,,,,,,
WABASH COUNTY,185,2016,"5,741","5,385",356,6.2,,,,,,,,,,,,,,
WARREN COUNTY,187,2016,"8,680","8,227",453,5.2,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,2016,"9,629","9,270",359,3.7,,,,,,,,,,,,,,
WAYNE COUNTY,191,2016,"7,284","6,670",614,8.4,,,,,,,,,,,,,,
WHITE COUNTY,193,2016,"6,875","6,429",446,6.5,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,2016,"28,672","27,027","1,645",5.7,,,,,,,,,,,,,,
WILL COUNTY,197,2016,"363,533","341,759","21,774",6.0,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,2016,"32,261","30,297","1,964",6.1,,,,,,,,,,,,,,
WINNEBAGO COUNTY,201,2016,"141,281","131,980","9,301",6.6,,,,,,,,,,,,,,
WOODFORD COUNTY,203,2016,"19,314","18,265","1,049",5.4,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ADAMS COUNTY,1,2015,"32,515","30,895","1,620",5.0,,,,,,,,,,,,,,
ALEXANDER COUNTY,3,2015,"2,291","2,081",210,9.2,,,,,,,,,,,,,,
BOND COUNTY,5,2015,"7,779","7,366",413,5.3,,,,,,,,,,,,,,
BOONE COUNTY,7,2015,"26,333","24,616","1,717",6.5,,,,,,,,,,,,,,
BROWN COUNTY,9,2015,"2,777","2,678",99,3.6,,,,,,,,,,,,,,
BUREAU COUNTY,11,2015,"17,105","16,005","1,100",6.4,,,,,,,,,,,,,,
CALHOUN COUNTY,13,2015,"2,341","2,183",158,6.7,,,,,,,,,,,,,,
CARROLL COUNTY,15,2015,"7,934","7,501",433,5.5,,,,,,,,,,,,,,
CASS COUNTY,17,2015,"6,446","6,082",364,5.6,,,,,,,,,,,,,,
CHAMPAIGN COUNTY,19,2015,"104,621","99,199","5,422",5.2,,,,,,,,,,,,,,
CHRISTIAN COUNTY,21,2015,"15,458","14,441","1,017",6.6,,,,,,,,,,,,,,
CLARK COUNTY,23,2015,"8,078","7,576",502,6.2,,,,,,,,,,,,,,
CLAY COUNTY,25,2015,"6,616","6,147",469,7.1,,,,,,,,,,,,,,
CLINTON COUNTY,27,2015,"20,073","19,168",905,4.5,,,,,,,,,,,,,,
COLES COUNTY,29,2015,"24,079","22,622","1,457",6.1,,,,,,,,,,,,,,
COOK COUNTY,31,2015,"2,648,861","2,484,494","164,367",6.2,,,,,,,,,,,,,,
CRAWFORD COUNTY,33,2015,"9,629","9,059",570,5.9,,,,,,,,,,,,,,
CUMBERLAND COUNTY,35,2015,"5,904","5,593",311,5.3,,,,,,,,,,,,,,
DEKALB COUNTY,37,2015,"54,601","51,549","3,052",5.6,,,,,,,,,,,,,,
DE WITT COUNTY,39,2015,"7,931","7,489",442,5.6,,,,,,,,,,,,,,
DOUGLAS COUNTY,41,2015,"10,082","9,586",496,4.9,,,,,,,,,,,,,,
DUPAGE COUNTY,43,2015,"512,100","487,789","24,311",4.7,,,,,,,,,,,,,,
EDGAR COUNTY,45,2015,"9,428","8,839",589,6.2,,,,,,,,,,,,,,
EDWARDS COUNTY,47,2015,"2,943","2,768",175,5.9,,,,,,,,,,,,,,
EFFINGHAM COUNTY,49,2015,"18,410","17,527",883,4.8,,,,,,,,,,,,,,
FAYETTE COUNTY,51,2015,"9,698","9,060",638,6.6,,,,,,,,,,,,,,
FORD COUNTY,53,2015,"6,508","6,156",352,5.4,,,,,,,,,,,,,,
FRANKLIN COUNTY,55,2015,"16,482","15,150","1,332",8.1,,,,,,,,,,,,,,
FULTON COUNTY,57,2015,"15,785","14,582","1,203",7.6,,,,,,,,,,,,,,
GALLATIN COUNTY,59,2015,"2,465","2,300",165,6.7,,,,,,,,,,,,,,
GREENE COUNTY,61,2015,"6,045","5,674",371,6.1,,,,,,,,,,,,,,
GRUNDY COUNTY,63,2015,"25,486","23,722","1,764",6.9,,,,,,,,,,,,,,
HAMILTON COUNTY,65,2015,"4,375","4,135",240,5.5,,,,,,,,,,,,,,
HANCOCK COUNTY,67,2015,"8,910","8,359",551,6.2,,,,,,,,,,,,,,
HARDIN COUNTY,69,2015,"1,527","1,398",129,8.4,,,,,,,,,,,,,,
HENDERSON COUNTY,71,2015,"3,748","3,523",225,6.0,,,,,,,,,,,,,,
HENRY COUNTY,73,2015,"25,072","23,532","1,540",6.1,,,,,,,,,,,,,,
IROQUOIS COUNTY,75,2015,"14,823","13,985",838,5.7,,,,,,,,,,,,,,
JACKSON COUNTY,77,2015,"28,620","27,029","1,591",5.6,,,,,,,,,,,,,,
JASPER COUNTY,79,2015,"4,638","4,349",289,6.2,,,,,,,,,,,,,,
JEFFERSON COUNTY,81,2015,"17,168","16,008","1,160",6.8,,,,,,,,,,,,,,
JERSEY COUNTY,83,2015,"11,074","10,372",702,6.3,,,,,,,,,,,,,,
JO DAVIESS COUNTY,85,2015,"11,447","10,820",627,5.5,,,,,,,,,,,,,,
JOHNSON COUNTY,87,2015,"4,133","3,780",353,8.5,,,,,,,,,,,,,,
KANE COUNTY,89,2015,"267,465","252,049","15,416",5.8,,,,,,,,,,,,,,
KANKAKEE COUNTY,91,2015,"55,189","51,470","3,719",6.7,,,,,,,,,,,,,,
KENDALL COUNTY,93,2015,"66,278","62,846","3,432",5.2,,,,,,,,,,,,,,
KNOX COUNTY,95,2015,"23,199","21,787","1,412",6.1,,,,,,,,,,,,,,
LAKE COUNTY,97,2015,"367,049","347,276","19,773",5.4,,,,,,,,,,,,,,
LASALLE COUNTY,99,2015,"57,378","53,378","4,000",7.0,,,,,,,,,,,,,,
LAWRENCE COUNTY,101,2015,"6,142","5,706",436,7.1,,,,,,,,,,,,,,
LEE COUNTY,103,2015,"17,839","16,887",952,5.3,,,,,,,,,,,,,,
LIVINGSTON COUNTY,105,2015,"17,243","16,315",928,5.4,,,,,,,,,,,,,,
LOGAN COUNTY,107,2015,"13,008","12,305",703,5.4,,,,,,,,,,,,,,
MCDONOUGH COUNTY,109,2015,"14,066","13,210",856,6.1,,,,,,,,,,,,,,
MCHENRY COUNTY,111,2015,"165,957","156,973","8,984",5.4,,,,,,,,,,,,,,
MCLEAN COUNTY,113,2015,"90,841","86,482","4,359",4.8,,,,,,,,,,,,,,
MACON COUNTY,115,2015,"50,527","46,989","3,538",7.0,,,,,,,,,,,,,,
MACOUPIN COUNTY,117,2015,"23,044","21,587","1,457",6.3,,,,,,,,,,,,,,
MADISON COUNTY,119,2015,"132,970","124,983","7,987",6.0,,,,,,,,,,,,,,
MARION COUNTY,121,2015,"18,088","16,865","1,223",6.8,,,,,,,,,,,,,,
MARSHALL COUNTY,123,2015,"5,708","5,330",378,6.6,,,,,,,,,,,,,,
MASON COUNTY,125,2015,"6,607","6,136",471,7.1,,,,,,,,,,,,,,
MASSAC COUNTY,127,2015,"6,107","5,664",443,7.3,,,,,,,,,,,,,,
MENARD COUNTY,129,2015,"6,738","6,421",317,4.7,,,,,,,,,,,,,,
MERCER COUNTY,131,2015,"8,192","7,679",513,6.3,,,,,,,,,,,,,,
MONROE COUNTY,133,2015,"18,090","17,298",792,4.4,,,,,,,,,,,,,,
MONTGOMERY COUNTY,135,2015,"12,036","11,126",910,7.6,,,,,,,,,,,,,,
MORGAN COUNTY,137,2015,"16,978","16,129",849,5.0,,,,,,,,,,,,,,
MOULTRIE COUNTY,139,2015,"7,362","7,041",321,4.4,,,,,,,,,,,,,,
OGLE COUNTY,141,2015,"25,909","24,311","1,598",6.2,,,,,,,,,,,,,,
PEORIA COUNTY,143,2015,"89,973","83,805","6,168",6.9,,,,,,,,,,,,,,
PERRY COUNTY,145,2015,"8,854","8,223",631,7.1,,,,,,,,,,,,,,
PIATT COUNTY,147,2015,"8,345","7,925",420,5.0,,,,,,,,,,,,,,
PIKE COUNTY,149,2015,"7,612","7,218",394,5.2,,,,,,,,,,,,,,
POPE COUNTY,151,2015,"1,768","1,644",124,7.0,,,,,,,,,,,,,,
PULASKI COUNTY,153,2015,"2,089","1,904",185,8.9,,,,,,,,,,,,,,
PUTNAM COUNTY,155,2015,"3,040","2,852",188,6.2,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,2015,"14,299","13,523",776,5.4,,,,,,,,,,,,,,
RICHLAND COUNTY,159,2015,"7,461","7,024",437,5.9,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,2015,"72,233","67,608","4,625",6.4,,,,,,,,,,,,,,
ST. CLAIR COUNTY,163,2015,"126,135","117,831","8,304",6.6,,,,,,,,,,,,,,
SALINE COUNTY,165,2015,"10,344","9,544",800,7.7,,,,,,,,,,,,,,
SANGAMON COUNTY,167,2015,"105,388","99,920","5,468",5.2,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,2015,"3,481","3,278",203,5.8,,,,,,,,,,,,,,
SCOTT COUNTY,171,2015,"2,556","2,407",149,5.8,,,,,,,,,,,,,,
SHELBY COUNTY,173,2015,"10,226","9,624",602,5.9,,,,,,,,,,,,,,
STARK COUNTY,175,2015,"2,761","2,578",183,6.6,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,2015,"21,537","20,115","1,422",6.6,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,2015,"66,832","62,647","4,185",6.3,,,,,,,,,,,,,,
UNION COUNTY,181,2015,"7,352","6,787",565,7.7,,,,,,,,,,,,,,
VERMILION COUNTY,183,2015,"35,440","32,934","2,506",7.1,,,,,,,,,,,,,,
