Data subject to revision,,,,,,,,,,,,,,,,,,,,
scroll down to see earlier years,,,,,,,,,,,,,,,,,,,,
,,,LABOR,,       UNEMPLOYED,,,,,,,,,,,,,,,
COUNTY,FIPS,YEAR,FORCE,EMPLOYED,NUMBER,RATE,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
PEORIA COUNTY,143,1980,"97,478","89,304","8,174",8.4,,,,,,,,,,,,,,
PERRY COUNTY,145,1980,"10,405","9,337","1,068",10.3,,,,,,,,,,,,,,
PIATT COUNTY,147,1980,"8,835","8,165",670,7.6,,,,,,,,,,,,,,
PIKE COUNTY,149,1980,"8,523","7,809",714,8.4,,,,,,,,,,,,,,
POPE COUNTY,151,1980,"1,444","1,163",281,19.5,,,,,,,,,,,,,,
PULASKI COUNTY,153,1980,"3,447","2,880",567,16.4,,,,,,,,,,,,,,
PUTNAM COUNTY,155,1980,"2,696","2,404",292,10.8,,,,,,,,,,,,,,
RANDOLPH COUNTY,157,1980,"16,910","15,601","1,309",7.7,,,,,,,,,,,,,,
RICHLAND COUNTY,159,1980,"7,386","6,648",738,10.0,,,,,,,,,,,,,,
ROCK ISLAND COUNTY,161,1980,"84,434","78,144","6,290",7.4,,,,,,,,,,,,,,
St. CLAIR COUNTY,163,1980,"121,217","109,774","11,443",9.4,,,,,,,,,,,,,,
SALINE COUNTY,165,1980,"10,943","9,529","1,414",12.9,,,,,,,,,,,,,,
SANGAMON COUNTY,167,1980,"92,846","86,059","6,787",7.3,,,,,,,,,,,,,,
SCHUYLER COUNTY,169,1980,"4,455","4,119",336,7.5,,,,,,,,,,,,,,
SCOTT COUNTY,171,1980,"2,792","2,591",201,7.2,,,,,,,,,,,,,,
SHELBY COUNTY,173,1980,"9,825","8,655","1,170",11.9,,,,,,,,,,,,,,
STARK COUNTY,175,1980,"3,898","3,639",259,6.6,,,,,,,,,,,,,,
STEPHENSON COUNTY,177,1980,"25,718","23,908","1,810",7.0,,,,,,,,,,,,,,
TAZEWELL COUNTY,179,1980,"64,182","58,838","5,344",8.3,,,,,,,,,,,,,,
UNION COUNTY,181,1980,"7,728","6,785",943,12.2,,,,,,,,,,,,,,
VERMILION COUNTY,183,1980,"44,360","39,016","5,344",12.0,,,,,,,,,,,,,,
WABASH COUNTY,185,1980,"7,389","6,875",514,7.0,,,,,,,,,,,,,,
WARREN COUNTY,187,1980,"11,906","10,806","1,100",9.2,,,,,,,,,,,,,,
WASHINGTON COUNTY,189,1980,"7,837","7,241",596,7.6,,,,,,,,,,,,,,
WAYNE COUNTY,191,1980,"7,900","7,044",856,10.8,,,,,,,,,,,,,,
WHITE COUNTY,193,1980,"7,306","6,458",848,11.6,,,,,,,,,,,,,,
WHITESIDE COUNTY,195,1980,"30,848","27,951","2,897",9.4,,,,,,,,,,,,,,
WILL COUNTY,197,1980,"159,870","145,955","13,915",8.7,,,,,,,,,,,,,,
WILLIAMSON COUNTY,199,1980,"22,936","19,692","3,244",14.1,,,,,,,,,,,,,,
